energy_type,State,consumption
TE,NM,688535
CL,NM,256377
NG,NM,252997
MM,NM,106503
DF,NM,86333
RE,NM,45334
LG,NM,26839
P1,NM,24323
BM,NM,18040
JF,NM,6217
HY,NM,876
TE,NV,657117
NG,NV,282311
MM,NV,125140
RE,NV,75634
CL,NV,64838
DF,NV,55949
JF,NV,26931
HY,NV,25588
BM,NV,10044
P1,NV,7273
LG,NV,4444
TE,NY,3625337
NG,NY,1321627
MM,NY,603191
RE,NY,410154
DF,NY,326772
HY,NY,238270
JF,NY,154792
BM,NY,130625
RF,NY,69358
CL,NY,68707
P1,NY,52115
LG,NY,29634
TE,OH,3745414
CL,OH,1104486
NG,OH,946396
MM,OH,554806
DF,OH,294117
P1,OH,170482
RE,OH,148020
BM,OH,126228
JF,OH,75229
LG,OH,28107
HY,OH,5240
RF,OH,3212
TE,OK,1622806
NG,OK,683140
CL,OK,335925
MM,OK,213511
DF,OK,170191
RE,OK,170026
P1,OK,78542
JF,OK,43990
BM,OK,42659
HY,OK,20781
LG,OK,11050
RF,OK,3231
TE,OR,996670
RE,OR,464503
HY,OR,315785
NG,OR,244277
MM,OR,168107
DF,OR,105381
BM,OR,71410
CL,OR,38900
JF,OR,25895
P1,OR,19605
LG,OR,6013
RF,OR,4592
TE,PA,3794952
NG,PA,1146557
CL,PA,1126118
MM,PA,563364
DF,PA,367499
RE,PA,216593
BM,PA,153563
P1,PA,139233
LG,PA,48547
JF,PA,41516
HY,PA,24088
RF,PA,7865
TE,RI,193558
NG,RI,88559
MM,RI,40746
DF,RI,29174
RE,RI,5711
BM,RI,5465
JF,RI,3929
P1,RI,2027
LG,RI,1711
RF,RI,230
HY,RI,42
TE,SC,1591380
MM,SC,301268
CL,SC,257319
NG,SC,236934
RE,SC,144752
DF,SC,118641
BM,SC,113811
P1,SC,31457
HY,SC,30152
JF,SC,11613
RF,SC,10817
LG,SC,8755
TE,SD,390367
RE,SD,127714
NG,SD,84527
BM,SD,61432
MM,SD,49779
DF,SD,45907
HY,SD,38761
CL,SD,34246
LG,SD,7523
P1,SD,6645
JF,SD,3767
RF,SD,10
TE,TN,2135932
CL,TN,399768
MM,TN,353176
NG,TN,286096
RE,TN,218272
DF,TN,160819
HY,TN,118721
BM,TN,98214
P1,TN,73944
JF,TN,63615
LG,TN,9879
RF,TN,404
TE,TX,12944108
NG,TX,4137387
LG,TX,1923435
CL,TX,1597357
MM,TX,1435389
P1,TX,1330654
DF,TX,959113
RE,TX,552157
JF,TX,386660
BM,TX,198824
RF,TX,128682
HY,TX,4580
RE,US,9147633
DF,US,8066422
P1,US,4548756
BM,US,4464695
LG,US,3166737
JF,US,2968557
HY,US,2562382
RF,US,731008
TE,UT,830637
CL,UT,355230
NG,UT,258858
MM,UT,123504
DF,UT,88443
JF,UT,36283
P1,UT,29091
RE,UT,24730
BM,UT,10525
