state,zipcode,districtcode
01,35755,0105
01,35756,0105
01,35757,0105
01,35758,0105
01,35759,0105
01,35760,0104
01,35760,0105
01,35761,0105
01,35763,0105
01,35764,0105
01,35765,0104
01,35765,0105
01,35766,0105
01,35768,0105
01,35769,0104
01,35769,0105
01,35771,0104
01,35771,0105
01,35772,0105
01,35773,0105
01,35774,0105
01,35775,0105
01,35776,0104
01,35776,0105
01,35801,0105
01,35802,0105
01,35803,0105
01,35805,0105
01,35806,0105
01,35808,0105
01,35810,0105
01,35811,0105
01,35816,0105
01,35824,0105
01,35896,0105
01,35901,0103
01,35901,0104
01,35903,0103
01,35903,0104
01,35904,0104
01,35905,0103
01,35905,0104
01,35906,0104
01,35907,0104
01,35950,0104
01,35951,0104
01,35952,0104
01,35952,0106
01,35953,0103
01,35954,0104
01,35956,0104
01,35957,0104
01,35958,0105
01,35959,0103
01,35960,0103
01,35961,0103
01,35961,0104
01,35962,0104
01,35963,0104
01,35966,0104
01,35966,0105
01,35967,0103
01,35967,0104
01,35968,0104
01,35971,0104
01,35972,0103
01,35972,0104
01,35973,0103
01,35973,0104
01,35974,0104
01,35975,0104
01,35976,0104
01,35978,0104
01,35978,0105
01,35979,0104
01,35979,0105
01,35980,0104
01,35980,0106
01,35981,0104
01,35983,0103
01,35984,0104
01,35986,0104
01,35987,0103
01,35988,0104
01,35989,0104
01,35990,0104
01,36003,0102
01,36005,0102
01,36006,0102
01,36006,0106
01,36009,0102
01,36010,0102
01,36013,0103
01,36016,0102
01,36017,0102
01,36020,0102
01,36022,0102
01,36024,0102
01,36025,0102
01,36026,0102
01,36026,0106
01,36027,0102
01,36027,0103
01,36028,0102
01,36029,0102
01,36029,0103
01,36030,0102
01,36031,0103
01,36032,0102
01,36032,0107
01,36033,0101
01,36033,0102
01,36034,0102
01,36035,0102
01,36036,0102
01,36037,0102
01,36038,0102
01,36039,0103
01,36040,0107
01,36041,0102
01,36042,0102
01,36043,0102
01,36043,0107
01,36046,0102
01,36047,0102
01,36047,0107
01,36048,0102
01,36049,0102
01,36051,0102
01,36051,0106
01,36052,0102
01,36052,0103
01,36053,0102
01,36054,0102
01,36064,0102
01,36064,0103
01,36066,0102
01,36067,0102
01,36069,0102
01,36071,0102
01,36075,0103
01,36078,0102
01,36078,0103
01,36079,0102
01,36080,0102
01,36080,0106
01,36081,0102
01,36082,0102
01,36083,0103
01,36088,0103
01,36089,0102
01,36089,0103
01,36091,0102
01,36091,0106
01,36092,0102
01,36093,0102
01,36104,0102
01,36104,0107
01,36105,0102
01,36105,0107
01,36106,0102
01,36106,0107
01,36107,0102
01,36108,0102
01,36108,0107
01,36109,0102
01,36110,0102
01,36111,0102
01,36112,0102
01,36113,0102
01,36113,0107
01,36115,0102
01,36116,0102
01,36116,0103
01,36116,0107
01,36117,0102
01,36117,0103
01,36201,0103
01,36203,0103
01,36205,0103
01,36206,0103
01,36207,0103
01,36250,0103
01,36251,0103
01,36255,0103
01,36256,0103
01,36258,0103
01,36260,0103
01,36262,0103
01,36263,0103
01,36264,0103
01,36265,0103
01,36266,0103
01,36267,0103
01,36268,0103
01,36269,0103
01,36271,0103
01,36272,0103
01,36272,0104
01,36273,0103
01,36274,0103
01,36276,0103
01,36277,0103
01,36278,0103
01,36279,0103
01,36280,0103
01,36301,0102
01,36303,0102
01,36305,0102
01,36310,0102
01,36311,0102
01,36312,0102
01,36313,0102
01,36314,0102
01,36316,0102
01,36317,0102
01,36318,0102
01,36319,0102
01,36320,0102
01,36321,0102
01,36322,0102
01,36323,0102
01,36330,0102
01,36340,0102
01,36343,0102
01,36344,0102
01,36345,0102
01,36346,0102
01,36350,0102
01,36351,0102
01,36352,0102
01,36353,0102
01,36360,0102
01,36362,0102
01,36370,0102
01,36371,0102
